model,tag,completed_updates,wall_time,value
fm,sub_loss/train_prior_loss_epoch,87380,1789408659.8510256,0.9592324495315552
fm,sub_loss/train_prior_loss_epoch,87720,1789408798.6624558,0.9592335224151611
fm,sub_loss/train_prior_loss_epoch,88060,1789408943.1517105,0.9592512249946594
fm,sub_loss/train_prior_loss_epoch,88400,1789409081.6392345,0.9592560529708862
fm,sub_loss/train_prior_loss_epoch,88740,1789409220.8184721,0.9592856168746948
fm,sub_loss/train_prior_loss_epoch,89080,1789409365.7588935,0.9591836333274841
fm,sub_loss/train_prior_loss_epoch,89420,1789409505.0741243,0.9592251181602478
fm,sub_loss/train_prior_loss_epoch,89760,1789409645.7534893,0.9591888189315796
fm,sub_loss/train_prior_loss_epoch,90100,1789409790.6199343,0.9592357873916626
fm,sub_loss/train_prior_loss_epoch,90440,1789409936.5744627,0.9591691493988037
fm,sub_loss/train_prior_loss_epoch,90780,1789410089.3324423,0.959144651889801
fm,sub_loss/train_prior_loss_epoch,91120,1789410243.4298937,0.959238588809967
fm,sub_loss/train_prior_loss_epoch,91460,1789410385.3665993,0.9592585563659668
fm,sub_loss/train_prior_loss_epoch,91800,1789410525.6283484,0.9592415690422058
fm,sub_loss/train_prior_loss_epoch,92140,1789410670.1396048,0.9591487050056458
fm,sub_loss/train_prior_loss_epoch,92480,1789410809.3806095,0.9591600894927979
fm,sub_loss/train_prior_loss_epoch,92820,1789410948.7525976,0.959178626537323
fm,sub_loss/train_prior_loss_epoch,93160,1789411093.3322282,0.9591429233551025
fm,sub_loss/train_prior_loss_epoch,93500,1789411234.1802585,0.9592118859291077
fm,sub_loss/train_prior_loss_epoch,93840,1789411372.6965647,0.959111213684082
fm,sub_loss/train_prior_loss_epoch,94180,1789411518.2822397,0.9591688513755798
fm,sub_loss/train_prior_loss_epoch,94520,1789411658.9819794,0.9591039419174194
fm,sub_loss/train_prior_loss_epoch,94860,1789411799.227605,0.9591119885444641
fm,sub_loss/train_prior_loss_epoch,95200,1789411943.8301623,0.9591376781463623
fm,sub_loss/train_prior_loss_epoch,95540,1789412092.4556491,0.9591173529624939
