model,tag,start_inclusive,end_exclusive,count,mean,median,minimum,maximum
imf,duration_mask/train_floor_binding_token_ratio_epoch,10000,20000,29,0.4021265301211127,0.4020349979400635,0.40024471282958984,0.40358054637908936
imf,duration_mask/train_floor_binding_token_ratio_epoch,20000,40000,59,0.39996838721178346,0.3999091684818268,0.3983859419822693,0.4017332196235657
imf,duration_mask/train_floor_binding_token_ratio_epoch,40000,60000,59,0.40018208350165413,0.4001927673816681,0.3983524441719055,0.40144672989845276
imf,duration_mask/train_floor_binding_token_ratio_epoch,60000,80000,59,0.4015664897732816,0.40160074830055237,0.3994448482990265,0.40349727869033813
imf,duration_mask/train_floor_binding_token_ratio_epoch,80000,100000,59,0.4025381343849635,0.40259885787963867,0.40074941515922546,0.4045507609844208
imf,duration_mask/train_floor_binding_token_ratio_epoch,100000,120000,58,0.4027941355417515,0.4026927351951599,0.4009300470352173,0.4050453305244446
imf,duration_mask/train_floor_binding_token_ratio_epoch,120000,136000,47,0.40277598956797983,0.4026854932308197,0.40189477801322937,0.40377599000930786
imf,duration_mask/train_floor_binding_token_ratio_epoch,136000,139151,10,0.40236565172672273,0.402446910738945,0.40175217390060425,0.4029623866081238
imf,duration_mask/val_floor_binding_token_ratio_epoch,1000,10000,9,0.37668183114793563,0.3759056329727173,0.371416836977005,0.3822074234485626
imf,duration_mask/val_floor_binding_token_ratio_epoch,10000,20000,10,0.37379439175128937,0.37398049235343933,0.37115228176116943,0.3772145211696625
imf,duration_mask/val_floor_binding_token_ratio_epoch,20000,40000,19,0.37111507277739675,0.37052977085113525,0.36806240677833557,0.3750777542591095
imf,duration_mask/val_floor_binding_token_ratio_epoch,40000,60000,20,0.37219239175319674,0.3720376193523407,0.3692150115966797,0.37532374262809753
imf,duration_mask/val_floor_binding_token_ratio_epoch,60000,80000,20,0.3726305320858955,0.37271542847156525,0.36992016434669495,0.3761771023273468
imf,duration_mask/val_floor_binding_token_ratio_epoch,80000,100000,20,0.373499321937561,0.37364649772644043,0.37049421668052673,0.37615421414375305
imf,duration_mask/val_floor_binding_token_ratio_epoch,100000,120000,20,0.37347703874111177,0.37352360785007477,0.37015071511268616,0.37608832120895386
imf,duration_mask/val_floor_binding_token_ratio_epoch,120000,136000,16,0.37396878004074097,0.3735857158899307,0.37140950560569763,0.37685906887054443
imf,duration_mask/val_floor_binding_token_ratio_epoch,136000,139151,4,0.37496714293956757,0.37494587898254395,0.373779833316803,0.3761969804763794
imf,duration_mask/train_ceiling_binding_token_ratio_epoch,1000,10000,27,0.08263831696024647,0.08280433714389801,0.08148758858442307,0.08341789990663528
imf,duration_mask/train_ceiling_binding_token_ratio_epoch,10000,20000,29,0.08262997917060194,0.08266282081604004,0.08205252140760422,0.0832170769572258
imf,duration_mask/train_ceiling_binding_token_ratio_epoch,20000,40000,59,0.0830640009904312,0.08310139924287796,0.08163250237703323,0.08382556587457657
imf,duration_mask/train_ceiling_binding_token_ratio_epoch,40000,60000,59,0.08322428533081282,0.08318287879228592,0.08201394975185394,0.08396204560995102
imf,duration_mask/train_ceiling_binding_token_ratio_epoch,60000,80000,59,0.08314796713954312,0.08310969918966293,0.08240652829408646,0.08432906866073608
imf,duration_mask/train_ceiling_binding_token_ratio_epoch,80000,100000,59,0.08279445439071978,0.08275431394577026,0.08158481866121292,0.0836624726653099
imf,duration_mask/train_ceiling_binding_token_ratio_epoch,100000,120000,58,0.08292650290090463,0.0829843133687973,0.0821533054113388,0.08346819877624512
imf,duration_mask/train_ceiling_binding_token_ratio_epoch,120000,136000,47,0.08328859745822054,0.08326324820518494,0.08259151875972748,0.0839451476931572
imf,duration_mask/train_ceiling_binding_token_ratio_epoch,136000,139151,10,0.08335920125246048,0.08330017700791359,0.08289488404989243,0.08381877094507217
imf,duration_mask/val_ceiling_binding_token_ratio_epoch,1000,10000,9,0.062341808858844966,0.062402062118053436,0.06065865978598595,0.06459161639213562
