phone,count,mean_ms,std_ms,min_ms,p01_ms,p05_ms,p10_ms,p25_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,max_ms,mean_frames_16ms,p05_frames_16ms,p50_frames_16ms,p95_frames_16ms,lt_1_frame_ratio,lt_2_frames_ratio,ge_10_frames_ratio
AW2,93,130.96774193548387,33.635123607063434,90.00000000000009,90.00000000000009,99.99999999999964,99.99999999999999,109.99999999999999,120.00000000000011,140.0,160.0000000000001,200.0,253.19999999999993,290.00000000000006,8.185483870967742,6.249999999999978,7.500000000000007,12.5,0.0,0.0,0.11827956989247312
AY0,172,119.06976744186045,31.737583434652027,40.000000000000036,57.09999999999997,69.99999999999999,79.99999999999986,99.99999999999987,119.99999999999989,139.99999999999991,160.0,174.4999999999999,202.89999999999992,209.99999999999997,7.441860465116278,4.374999999999999,7.499999999999993,10.906249999999993,0.0,0.0,0.10465116279069768
AY1,9486,139.3000210837023,56.19286250719628,29.999999999999805,60.00000000000006,70.00000000000006,80.00000000000007,100.00000000000009,130.0,160.0,209.99999999999997,250.0,330.00000000000006,550.0,8.706251317731393,4.3750000000000036,8.125,15.625,0.0,0.000843348091924942,0.25332068311195444
AY2,462,159.95670995670994,63.39935839937712,69.99999999999984,70.00000000000028,80.00000000000007,89.99999999999997,109.99999999999987,140.00000000000057,199.99999999999994,250.0,279.9999999999994,330.00000000000006,439.99999999999994,9.997294372294371,5.000000000000004,8.750000000000036,17.49999999999996,0.0,0.0,0.44805194805194803
B,7282,66.02993683054106,23.617865126071088,10.000000000000002,30.0,39.99999999999992,40.000000000000036,49.99999999999982,60.00000000000006,80.00000000000007,99.99999999999997,109.99999999999999,130.0000000000001,209.99999999999997,4.126871051908816,2.499999999999995,3.7500000000000036,6.874999999999999,0.00027464982147761604,0.03240867893435869,0.0008239494644328481
CH,1926,133.59293873312564,45.19449639785407,40.000000000000036,69.99999999999984,80.00000000000007,89.99999999999986,100.00000000000009,129.9999999999999,150.00000000000003,180.00000000000006,209.99999999999997,320.00000000000006,399.9999999999999,8.349558670820352,5.000000000000004,8.124999999999993,13.124999999999998,0.0,0.0,0.20041536863966772
D,16875,64.31662465185185,25.73957576359773,29.99999999999936,29.999999999999805,30.00000000000003,39.99999999999998,49.99999999999982,60.00000000000006,79.99999999999984,100.00000000000009,119.99999999999989,149.99999999999991,240.0,4.019789040740741,1.8750000000000018,3.7500000000000036,7.499999999999993,0.0,0.07674074074074073,0.004977777777777778
DH,10054,53.03461308931769,24.081524627630607,9.999999999999787,10.000000000000009,29.999999999999915,30.00000000000003,40.000000000000036,49.99999999999982,60.00000000000006,80.00000000000007,100.00000000000009,139.99999999999997,270.0,3.3146633180823555,1.8749999999999947,3.124999999999989,6.250000000000005,0.01571513825343147,0.16321861945494331,0.004575293415555998
EH0,176,59.034090909090885,28.992141906995617,29.99999999999936,29.99999999999936,29.999999999999886,30.00000000000003,40.000000000000036,50.00000000000004,69.99999999999997,104.99999999999991,122.50000000000006,140.0000000000001,160.00000000000003,3.6896306818181803,1.874999999999993,3.1250000000000027,7.6562500000000036,0.0,0.1875,0.005681818181818182
EH1,10646,88.2660154048469,42.94900252619236,29.99999999999936,30.00000000000025,40.000000000000036,40.000000000000036,59.99999999999983,79.99999999999996,109.99999999999999,149.99999999999991,170.00000000000037,229.99999999999997,360.0000000000001,5.516625962802931,2.500000000000002,4.999999999999997,10.625000000000023,0.0,0.015404846890851025,0.07270336276535788
EH2,451,69.17960088691798,34.64090261187372,29.999999999999805,30.00000000000003,30.00000000000025,39.99999999999992,40.000000000000036,59.99999999999994,89.99999999999986,119.99999999999989,139.99999999999994,180.00000000000006,229.99999999999997,4.323725055432374,1.8750000000000155,3.7499999999999964,8.749999999999996,0.0,0.082039911308204,0.022172949002217297
ER0,7603,100.93855491253453,63.85352953817573,29.99999999999936,29.999999999999805,39.99999999999992,40.000000000000036,50.00000000000027,80.00000000000007,129.9999999999999,190.0000000000004,240.0,309.99999999999983,519.9999999999995,6.308659682033408,2.499999999999995,5.000000000000004,15.0,0.0,0.04195712218860976,0.15717479942128107
ER1,2038,135.81943081452405,52.13395947357554,50.00000000000004,60.00000000000006,70.00000000000028,80.00000000000007,99.99999999999997,125.0,159.99999999999997,209.99999999999997,231.49999999999898,300.00000000000006,540.0,8.488714425907753,4.375000000000018,7.8125,14.468749999999936,0.0,0.0,0.2477919528949951
ER2,46,101.30434782608694,44.84798941992212,50.00000000000004,50.00000000000034,59.99999999999972,60.0000000000005,70.00000000000028,80.00000000000007,117.50000000000003,179.99999999999972,197.49999999999994,209.99999999999997,209.99999999999997,6.331521739130434,3.7499999999999827,5.000000000000004,12.343749999999996,0.0,0.0,0.17391304347826086
EY0,86,108.48837209302326,31.641797565307048,50.00000000000004,50.000000000000234,59.99999999999971,60.00000000000006,90.00000000000009,109.99999999999987,129.9999999999999,140.0000000000001,157.5000000000002,193.00000000000003,209.99999999999974,6.780523255813954,3.749999999999982,6.874999999999992,9.843750000000012,0.0,0.0,0.05813953488372093
EY1,5837,139.16241219804695,70.3823466184477,49.99999999999982,60.00000000000006,70.00000000000006,80.00000000000007,99.99999999999964,120.0,150.00000000000034,220.0,290.00000000000006,426.4000000000032,530.0000000000002,8.697650762377934,4.3750000000000036,7.5,18.125000000000004,0.0,0.0,0.2311118725372623
EY2,465,135.247311827957,73.46708075825065,30.00000000000025,46.3999999999999,60.00000000000006,69.99999999999984,89.99999999999986,110.00000000000031,159.99999999999991,229.99999999999997,315.9999999999991,383.6000000000001,460.00000000000017,8.452956989247312,3.7500000000000036,6.8750000000000195,19.749999999999943,0.0,0.002150537634408602,0.24946236559139784
F,7647,108.63078658297371,34.899402370633005,10.000000000000009,49.99999999999982,60.00000000000006,69.99999999999996,80.00000000000007,100.00000000000054,129.9999999999999,149.99999999999991,169.99999999999994,229.99999999999997,309.99999999999994,6.789424161435857,3.7500000000000036,6.250000000000034,10.624999999999996,0.0001307702366941284,0.0002615404733882568,0.07022361710474696
G,3617,75.69256289742881,23.251638366810397,29.999999999999805,30.00000000000025,40.000000000000036,49.999999999999936,60.0,70.00000000000006,89.99999999999997,109.99999999999987,120.0,140.0000000000001,220.0000000000002,4.730785181089301,2.500000000000002,4.3750000000000036,7.5,0.0,0.011888305225324854,0.004700027647221454
HH,8054,76.70101812763843,41.049743685243705,20.000000000000018,29.999999999999805,30.0,30.0,40.00000000000001,70.00000000000006,109.99999999999987,130.0,149.99999999999991,180.00000000000003,439.99999999999994,4.793813632977402,1.875,4.3750000000000036,9.374999999999995,0.0,0.22324310901415445,0.029923019617581325
IH0,13011,60.758588886326955,31.335666044719993,29.99999999999936,29.999999999999805,30.00000000000003,30.00000000000025,40.000000000000036,50.00000000000004,70.0,99.99999999999997,120.00000000000011,180.00000000000006,349.9999999999999,3.7974118053954347,1.8750000000000018,3.1250000000000027,7.500000000000007,0.0,0.11444162631619399,0.020905387748827914
IH1,10865,73.65945697192821,33.17179756627353,29.99999999999936,30.00000000000003,39.99999999999992,40.000000000000036,50.00000000000004,69.99999999999984,89.99999999999986,110.0000000000001,139.9999999999997,199.99999999999994,390.0000000000001,4.603716060745513,2.499999999999995,4.37499999999999,8.74999999999998,0.0,0.0393005062126093,0.024942475839852738
IH2,604,70.0,33.08127659155783,29.99999999999936,29.999999999999808,30.00000000000003,39.999999999999815,47.49999999999987,60.00000000000006,80.00000000000007,120.00000000000011,139.9999999999999,169.7000000000003,219.99999999999997,4.375,1.8750000000000018,3.7500000000000036,8.749999999999993,0.0,0.08609271523178808,0.018211920529801324
