lr,step,group,form,sentences,pearson,std_ratio,cv_ratio,mean_ratio,mae_frames,source
3e-4,15000,speaker_0/English,raw,232,0.6609888715769868,0.6413647075269572,0.6862304435613417,0.9346200151052116,1.3724712903798393,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/duration_summary.json
3e-4,15000,speaker_0/English,inference,232,0.6519894690540669,0.6471495508361153,0.6198845664829411,1.0439839702863847,1.4341294298921416,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00015000/duration_summary.json
3e-4,20000,speaker_1/Chinese,raw,192,0.6719351037662331,0.6855694120893319,0.7002626334554788,0.9790175561793975,1.1589616122036233,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/duration_summary.json
3e-4,20000,speaker_1/Chinese,inference,192,0.6638350153883401,0.6867360670891736,0.6307411299775135,1.0887764162670928,1.3466832504145938,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/duration_summary.json
3e-4,20000,speaker_1/English,raw,115,0.6683580949909378,0.6969045526666258,0.759565088943342,0.9175047179118178,1.2853722999456685,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/duration_summary.json
3e-4,20000,speaker_1/English,inference,115,0.6605017643781739,0.6945062331432892,0.6700359639533137,1.0365208294874164,1.3618501841997543,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/duration_summary.json
3e-4,20000,speaker_1/Mixed,raw,93,0.6693227760432993,0.6769371863363286,0.710174571614977,0.9531982886925047,1.2259369812100733,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/duration_summary.json
3e-4,20000,speaker_1/Mixed,inference,93,0.6642801686223059,0.6746335385406035,0.6339390571544062,1.0641930496739933,1.3766809049201076,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/duration_summary.json
3e-4,20000,speaker_0/English,raw,232,0.6558876213964073,0.6592329741398979,0.6969094034662126,0.9459378376315146,1.3791463961571255,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/duration_summary.json
3e-4,20000,speaker_0/English,inference,232,0.6469896969726647,0.6651364966036153,0.6301575430522068,1.0555082676341312,1.4594247560349256,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/duration_summary.json
5e-4,2000,speaker_1/Chinese,raw,192,0.6359524067693287,0.6484664947138853,0.6694017969142031,0.9687253570324654,1.209898986577197,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/duration_summary.json
5e-4,2000,speaker_1/Chinese,inference,192,0.6272031146715251,0.6507863191417674,0.605077665753572,1.0755417956656346,1.3724709784411278,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/duration_summary.json
5e-4,2000,speaker_1/English,raw,115,0.6482560947304062,0.6205302861615226,0.6887098508744149,0.9010039356539932,1.321051858785387,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/duration_summary.json
5e-4,2000,speaker_1/English,inference,115,0.637429352252481,0.62267438196671,0.6103494367013094,1.0201932606541129,1.378087051439487,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/duration_summary.json
5e-4,2000,speaker_1/Mixed,raw,93,0.6434218356280403,0.6290720794962501,0.6668302354270766,0.9433766588183512,1.3070774251497013,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/duration_summary.json
5e-4,2000,speaker_1/Mixed,inference,93,0.6349717784067218,0.6312170548639606,0.6007285697167002,1.0507525140041845,1.444391710172441,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/duration_summary.json
5e-4,2000,speaker_0/English,raw,232,0.6414850642897838,0.5851498417946425,0.6381021009355068,0.9170160087809894,1.4674339704961732,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/duration_summary.json
5e-4,2000,speaker_0/English,inference,232,0.6317477585104383,0.5932256203764068,0.5786358747346959,1.02521403576714,1.5164997431946585,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/duration_summary.json
