lr,step,group,samples,cer_micro,wer_micro,wavlm_similarity_mean,camp_similarity_mean,dnsmos_ovrl_mean,dnsmos_sig_mean,dnsmos_bak_mean,evaluation_failures,source
3e-4,20000,majestic_mixed,50,0.0,0.07291666666666667,0.7222391450405121,0.6372447764873505,3.3472895396419102,3.5896182649509556,4.139383516186098,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/summary.json
3e-4,20000,ljs_en,200,0.006288648988575621,0.014485755673587638,0.5841509713977575,0.7759733490645886,2.8824830650786253,3.318664699356967,3.672057600321259,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_b48_from21k_500ep_20260915/eval/step_00020000/summary.json
5e-4,1000,majestic_zh,8,0.02027027027027027,,0.7320542186498642,0.5508688539266586,3.3132155899285816,3.5502903678711446,4.155909794749522,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00001000/summary.json
5e-4,1000,majestic_en,8,0.013089005235602094,0.011235955056179775,0.6374829486012459,0.7313262894749641,3.110580143767353,3.3450116086860815,4.129774833412275,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00001000/summary.json
5e-4,1000,majestic_mixed,8,0.03825136612021858,0.3333333333333333,0.6337621361017227,0.5058921463787556,3.1491074333974285,3.4375055891131194,4.036959096057471,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00001000/summary.json
5e-4,1000,ljs_en,8,0.013089005235602094,0.02247191011235955,0.4099823161959648,0.6385519057512283,2.5821477709748097,3.1028691356743874,3.433886651290905,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00001000/summary.json
5e-4,2000,majestic_zh,200,0.007142857142857143,,0.7515144059062004,0.592981950044632,3.3349383673620343,3.5862034674718837,4.124258145831996,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/summary.json
5e-4,2000,majestic_en,200,0.005659784089718059,0.012554321583775953,0.6827797919511795,0.7578984636068344,3.1486302106789315,3.4068010903437536,4.083901899749483,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/summary.json
5e-4,2000,majestic_mixed,50,0.012411347517730497,0.10416666666666667,0.6896607553958893,0.5609980022907257,3.3111506882168182,3.562086931815494,4.125642873677351,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/summary.json
5e-4,2000,ljs_en,200,0.010585892464102296,0.024142926122646065,0.48024019110947846,0.6707398881018162,2.6754837509104914,3.1890699630151946,3.4757373756125576,0,/119010446/tts-assets/training_runs/ljs_majestic_100h_imf_h1_lr5e4_b48_from21k_500ep_20260915/eval/step_00002000/summary.json
